Date,Day,New_confirmed_cases,New_recoveries,New_deaths,Accum_confirmed,Accum_recoveries,Accum_deaths
14/02/2020,0,0,0,0,0,0,0
15/02/2020,1,0,0,0,0,0,0
16/02/2020,2,0,0,0,0,0,0
17/02/2020,3,0,0,0,0,0,0
18/02/2020,4,0,0,0,0,0,0
19/02/2020,5,0,0,0,0,0,0
20/02/2020,6,0,0,0,0,0,0
21/02/2020,7,0,0,0,0,0,0
22/02/2020,8,0,0,0,0,0,0
23/02/2020,9,0,0,0,0,0,0
24/02/2020,10,0,0,0,0,0,0
25/02/2020,11,0,0,0,0,0,0
26/02/2020,12,0,0,0,0,0,0
27/02/2020,13,0,0,0,0,0,0
28/02/2020,14,0,0,0,0,0,0
29/02/2020,15,0,0,0,0,0,0
01/03/2020,16,0,0,0,0,0,0
02/03/2020,17,0,0,0,0,0,0
03/03/2020,18,0,0,0,0,0,0
04/03/2020,19,0,0,0,0,0,0
05/03/2020,20,0,0,0,0,0,0
06/03/2020,21,2,0,0,2,0,0
07/03/2020,22,0,0,0,2,0,0
08/03/2020,23,2,0,0,4,0,0
09/03/2020,24,13,0,0,17,0,0
10/03/2020,25,8,2,0,25,2,0
11/03/2020,26,7,0,1,32,2,1
12/03/2020,27,0,1,0,32,3,1
13/03/2020,28,35,2,3,67,5,4
14/03/2020,29,27,3,1,94,8,5
15/03/2020,30,21,0,0,115,8,5
16/03/2020,31,17,0,0,132,8,5
17/03/2020,32,38,1,2,170,9,7
18/03/2020,33,55,2,12,225,11,19
19/03/2020,34,82,4,6,307,15,25
20/03/2020,35,60,2,7,367,17,32
21/03/2020,36,81,3,6,448,20,38
22/03/2020,37,64,9,10,512,29,48
23/03/2020,38,65,1,1,577,30,49
24/03/2020,39,107,0,6,684,30,55
25/03/2020,40,104,1,3,788,31,58
26/03/2020,41,103,4,20,891,35,78
27/03/2020,42,153,11,9,1044,46,87
